"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"648",519443,"Brandon Workman",2018,"648","100.0","0.230","0.176","0.259","0.405","0.304","0.305","0.219","34","148","88.5","10.5","2251","86.1","86.96","71","263","385","0.9","6.78","112","153","116","149","284","318","292"
"645",622382,"Gabriel Moya",2018,"645","100.0","0.245","0.175","0.269","0.420","0.314","0.289","0.236","35","143","88.4","17.4","1810","84.7","84.43","69","314","329","-0.3","6.04","107","152","118","148","294","323","294"
"642",592340,"Erik Goeddel",2018,"642","100.0","0.195","0.105","0.256","0.301","0.268","0.258","0.174","26","133","86.6","14.8","1901","87.3","86.98","107","314","325","-0.3","6.06","108","154","116","147","297","321","296"
"640",552640,"Andrew Kittredge",2018,"640","100.0","0.338","0.219","0.376","0.556","0.398","0.368","0.300","54","160","90.9","7.4","2284","87.9","87.89","67","296","342","0.0","6.27","110","154","115","146","291","319","290"
"640",527055,"Arodys Vizcaino",2018,"640","100.0","0.213","0.142","0.268","0.355","0.287","0.308","0.224","30","141","88.3","18.1","2415","93.6","92.00","97","305","332","-1.6","5.50","109","150","107","150","301","322","299"
"636",592815,"Sam Tuivailala",2018,"636","100.0","0.277","0.128","0.328","0.405","0.320","0.318","0.264","41","148","88.2","9.4","2233","91.1","90.51","70","309","322","-0.6","5.95","111","144","107","144","295","316","298"
"636",643316,"Paul Fry",2018,"636","100.0","0.236","0.050","0.311","0.286","0.282","0.301","0.245","33","140","83.6","2.1","2451","88.0","87.69","69","272","359","-0.3","6.07","111","153","115","146","291","316","294"
"636",605441,"Yacksel Rios",2018,"636","100.0","0.293","0.197","0.349","0.490","0.363","0.314","0.246","43","147","87.4","8.0","2044","92.3","91.86","79","309","324","-0.4","6.02","110","154","115","147","297","323","295"
"636",656887,"Sean Reid-Foley",2018,"636","100.0","0.244","0.197","0.313","0.441","0.346","0.322","0.218","31","127","88.2","14.0","2089","90.0","90.99","83","285","350","1.0","6.88","108","151","114","146","295","310","290"
"633",664285,"Framber Valdez",2018,"633","100.0","0.175","0.095","0.213","0.270","0.282","0.287","0.183","22","126","86.2","-4.2","2412","88.2","86.87","56","245","383","-1.3","5.64","108","151","114","148","289","309","287"
